nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0164728 0.00126043 -0.00495325 -0.00680613 -0.00623298 -0.00424345 -0.00149469 0.00149469 0.00424345 0.00623298 0.00680613 0.00495325 -0.00126043 -0.0164728 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0119298 -0.00127025 -0.00326537 0.00369966 0.00066413 -0.00233263 -0.00373403 -0.00368484 -0.00260878 -0.000934791 0.000934791 0.00260878 0.00368484 0.00373403 0.00233263 -0.00066413 -0.00369966 0.00326537 0.00127025 -0.0119298 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00952098 -0.000773384 0.00336819 0.000649177 -0.000348197 0.000923303 3.19149e-05 -0.00130364 -0.00210912 -0.00216098 -0.00157043 -0.000569938 0.000569938 0.00157043 0.00216098 0.00210912 0.00130364 -3.19149e-05 -0.000923303 0.000348197 -0.000649177 -0.00336819 0.000773384 -0.00952098 nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan 0.00812281 -0.00225629 0.00261223 0.00123199 0.00166706 0.000851625 0.000305594 0.000311929 -0.000152967 -0.000801108 -0.00123447 -0.00127687 -0.000940338 -0.000343886 0.000343886 0.000940338 0.00127687 0.00123447 0.000801108 0.000152967 -0.000311929 -0.000305594 -0.000851625 -0.00166706 -0.00123199 -0.00261223 0.00225629 -0.00812281 nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan 0.0103791 0.00610813 0.00203506 0.00195266 0.00142674 0.00121974 0.00078918 0.000411951 0.000175915 -0.000150447 -0.000509226 -0.000747069 -0.000768748 -0.000568278 -0.000208506 0.000208506 0.000568278 0.000768748 0.000747069 0.000509226 0.000150447 -0.000175915 -0.000411951 -0.00078918 -0.00121974 -0.00142674 -0.00195266 -0.00203506 -0.00610813 -0.0103791 nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan 0.00490083 0.0051492 0.00389778 0.00234025 0.00174001 0.00130692 0.00100055 0.000678566 0.000382635 0.000135631 -0.000110224 -0.00033327 -0.000471418 -0.00047931 -0.000353313 -0.000129609 0.000129609 0.000353313 0.00047931 0.000471418 0.00033327 0.000110224 -0.000135631 -0.000382635 -0.000678566 -0.00100055 -0.00130692 -0.00174001 -0.00234025 -0.00389778 -0.0051492 -0.00490083 nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan -0.00531971 -0.0121789 -0.00178316 0.00142065 0.00199593 0.00169169 0.00136429 0.00106521 0.0008024 0.000547981 0.000310935 0.0001009 -8.61967e-05 -0.000235992 -0.000320581 -0.00031951 -0.000233343 -8.52939e-05 8.52939e-05 0.000233343 0.00031951 0.000320581 0.000235992 8.61967e-05 -0.0001009 -0.000310935 -0.000547981 -0.0008024 -0.00106521 -0.00136429 -0.00169169 -0.00199593 -0.00142065 0.00178316 0.0121789 0.00531971 nan nan nan nan nan nan nan 
nan nan nan nan nan nan 0.00531971 -2.02949e-13 -0.00336411 -0.00127583 0.000321962 0.000975942 0.00106972 0.000964607 0.000792584 0.000602162 0.000407199 0.00022009 5.14847e-05 -9.12035e-05 -0.000196093 -0.000248535 -0.000239422 -0.000171818 -6.23346e-05 6.23346e-05 0.000171818 0.000239422 0.000248535 0.000196093 9.12035e-05 -5.14847e-05 -0.00022009 -0.000407199 -0.000602162 -0.000792584 -0.000964607 -0.00106972 -0.000975942 -0.000321962 0.00127583 0.00336411 -1.92735e-13 -0.00531971 nan nan nan nan nan nan 
nan nan nan nan nan nan 0.0121789 0.00336411 -2.03393e-13 -0.000276969 0.000168654 0.000518573 0.000650124 0.00063651 0.000544299 0.000413696 0.000267017 0.000120232 -1.36662e-05 -0.000123625 -0.000198675 -0.000229217 -0.000210858 -0.000147702 -5.302e-05 5.302e-05 0.000147702 0.000210858 0.000229217 0.000198675 0.000123625 1.36662e-05 -0.000120232 -0.000267017 -0.000413696 -0.000544299 -0.00063651 -0.000650124 -0.000518573 -0.000168654 0.000276969 -1.93623e-13 -0.00336411 -0.0121789 nan nan nan nan nan nan 
nan nan nan nan nan -0.00490083 0.00178316 0.00127583 0.000276969 -2.03837e-13 0.000112424 0.000281871 0.000379179 0.000391913 0.000340911 0.000249524 0.000136866 1.89477e-05 -9.01505e-05 -0.00017782 -0.000232939 -0.000247276 -0.000217903 -0.000149176 -5.30086e-05 5.30086e-05 0.000149176 0.000217903 0.000247276 0.000232939 0.00017782 9.01505e-05 -1.89477e-05 -0.000136866 -0.000249524 -0.000340911 -0.000391913 -0.000379179 -0.000281871 -0.000112424 -1.93623e-13 -0.000276969 -0.00127583 -0.00178316 0.00490083 nan nan nan nan nan 
