nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0104955 0.00226919 -0.00162596 -0.00347594 -0.00418047 -0.00416314 -0.00366096 -0.00282826 -0.00177898 -0.000606362 0.000606362 0.00177898 0.00282826 0.00366096 0.00416314 0.00418047 0.00347594 0.00162596 -0.00226919 -0.0104955 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00873756 0.00120391 -0.00135984 -0.000809217 0.0029805 0.00124334 -0.000736461 -0.00206405 -0.00272821 -0.0028621 -0.00259804 -0.00204715 -0.00130274 -0.000446452 0.000446452 0.00130274 0.00204715 0.00259804 0.0028621 0.00272821 0.00206405 0.000736461 -0.00124334 -0.0029805 0.000809217 0.00135984 -0.00120391 -0.00873756 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00678782 5.71552e-05 -0.00100817 0.00246554 0.00112316 6.65116e-05 0.000134199 0.000991543 0.000460234 -0.000498946 -0.00131538 -0.001806 -0.00195884 -0.00182182 -0.00145947 -0.000938318 -0.000323142 0.000323142 0.000938318 0.00145947 0.00182182 0.00195884 0.001806 0.00131538 0.000498946 -0.000460234 -0.000991543 -0.000134199 -6.65116e-05 -0.00112316 -0.00246554 0.00100817 -5.71552e-05 -0.00678782 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00532137 -0.00151584 -0.00258247 0.00126195 0.000485306 0.000221578 0.001009 0.0007569 0.000368908 0.000288289 0.00039113 0.000105065 -0.000404017 -0.000892324 -0.00122141 -0.00134528 -0.00127082 -0.00103049 -0.000667874 -0.000230922 0.000230922 0.000667874 0.00103049 0.00127082 0.00134528 0.00122141 0.000892324 0.000404017 -0.000105065 -0.00039113 -0.000288289 -0.000368908 -0.0007569 -0.001009 -0.000221578 -0.000485306 -0.00126195 0.00258247 0.00151584 -0.00532137 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00562246 -8.80033e-06 0.00154258 -3.37132e-05 -0.00053418 0.000356586 0.000400832 0.000400571 0.000592007 0.000526704 0.000364183 0.000259145 0.00017972 -2.69658e-05 -0.000329711 -0.000628323 -0.000841868 -0.000929916 -0.000885577 -0.000723716 -0.000471713 -0.000163575 0.000163575 0.000471713 0.000723716 0.000885577 0.000929916 0.000841868 0.000628323 0.000329711 2.69658e-05 -0.00017972 -0.000259145 -0.000364183 -0.000526704 -0.000592007 -0.000400571 -0.000400832 -0.000356586 0.00053418 3.37132e-05 -0.00154258 8.80033e-06 -0.00562246 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00469991 -0.000526428 0.00178016 0.000893081 0.000891268 0.000372948 0.00012334 0.000297828 0.000361084 0.000388128 0.000431927 0.000393929 0.000302202 0.000204599 9.574e-05 -6.27751e-05 -0.000259371 -0.000449218 -0.000587666 -0.000646795 -0.000617739 -0.000506996 -0.000331634 -0.000115224 0.000115224 0.000331634 0.000506996 0.000617739 0.000646795 0.000587666 0.000449218 0.000259371 6.27751e-05 -9.574e-05 -0.000204599 -0.000302202 -0.000393929 -0.000431927 -0.000388128 -0.000361084 -0.000297828 -0.00012334 -0.000372948 -0.000891268 -0.000893081 -0.00178016 0.000526428 -0.00469991 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00523173 -0.000395613 0.00163702 0.00083133 0.00113136 0.000910024 0.000756619 0.000511167 0.000357071 0.000350526 0.000357788 0.00035918 0.000353878 0.000315114 0.000246333 0.000161535 6.16225e-05 -6.03097e-05 -0.000195591 -0.000321334 -0.000412618 -0.000451713 -0.00043147 -0.00035481 -0.00023255 -8.08927e-05 8.08927e-05 0.00023255 0.00035481 0.00043147 0.000451713 0.000412618 0.000321334 0.000195591 6.03097e-05 -6.16225e-05 -0.000161535 -0.000246333 -0.000315114 -0.000353878 -0.00035918 -0.000357788 -0.000350526 -0.000357071 -0.000511167 -0.000756619 -0.000910024 -0.00113136 -0.00083133 -0.00163702 0.000395613 -0.00523173 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00606577 0.00378204 0.00160605 0.00141234 0.00108371 0.00100408 0.000859274 0.000714242 0.000558291 0.000443535 0.000389684 0.000360632 0.000337196 0.000309554 0.000266578 0.000206739 0.000133834 4.97605e-05 -4.42727e-05 -0.000141141 -0.000227713 -0.000289584 -0.000315818 -0.000301494 -0.000248132 -0.000162806 -5.66711e-05 5.66711e-05 0.000162806 0.000248132 0.000301494 0.000315818 0.000289584 0.000227713 0.000141141 4.42727e-05 -4.97605e-05 -0.000133834 -0.000206739 -0.000266578 -0.000309554 -0.000337196 -0.000360632 -0.000389684 -0.000443535 -0.000558291 -0.000714242 -0.000859274 -0.00100408 -0.00108371 -0.00141234 -0.00160605 -0.00378204 -0.00606577 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00292547 -0.00174235 0.00197363 0.00222476 0.00162581 0.00132278 0.00108732 0.000942189 0.000808999 0.000683038 0.000564498 0.000469383 0.000404336 0.000358154 0.000319715 0.000280857 0.000235198 0.000180497 0.000117578 4.81234e-05 -2.51496e-05 -9.67544e-05 -0.000158579 -0.000201996 -0.000220315 -0.000210422 -0.000173322 -0.000113813 -3.96362e-05 3.96362e-05 0.000113813 0.000173322 0.000210422 0.000220315 0.000201996 0.000158579 9.67544e-05 2.51496e-05 -4.81234e-05 -0.000117578 -0.000180497 -0.000235198 -0.000280857 -0.000319715 -0.000358154 -0.000404336 -0.000469383 -0.000564498 -0.000683038 -0.000808999 -0.000942189 -0.00108732 -0.00132278 -0.00162581 -0.00222476 -0.00197363 0.00174235 -0.00292547 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.00452318 0.00246606 0.000787311 0.00134617 0.00151765 0.00134988 0.00116587 0.00100084 0.000868609 0.000751756 0.000644693 0.000547573 0.00046547 0.00040044 0.000348257 0.000302977 0.000259288 0.000213184 0.000162793 0.000108166 5.06019e-05 -7.41412e-06 -6.18861e-05 -0.000107614 -0.000139294 -0.000152844 -0.000146413 -0.000120814 -7.94226e-05 -2.7675e-05 2.7675e-05 7.94226e-05 0.000120814 0.000146413 0.000152844 0.000139294 0.000107614 6.18861e-05 7.41412e-06 -5.06019e-05 -0.000108166 -0.000162793 -0.000213184 -0.000259288 -0.000302977 -0.000348257 -0.00040044 -0.00046547 -0.000547573 -0.000644693 -0.000751756 -0.000868609 -0.00100084 -0.00116587 -0.00134988 -0.00151765 -0.00134617 -0.000787311 -0.00246606 -0.00452318 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
