nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.98112 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.81026 2.82175 2.83767 2.8557 2.87496 2.89503 2.9157 2.93683 2.95832 2.98015 3.00146 3.02289 3.04426 3.06539 3.08607 3.10603 3.12477 3.14132 3.15321 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.70656 2.7176 2.73341 2.7521 2.77331 2.79785 2.81644 2.8347 2.85364 2.87332 2.89363 2.91444 2.93567 2.9572 2.97891 3.00055 3.02217 3.04371 3.06503 3.08599 3.10641 3.12612 3.14508 3.16418 3.18894 3.21092 3.23055 3.24724 3.25885 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.64453 2.65578 2.67276 2.69461 2.71194 2.72968 2.74876 2.76923 2.79063 2.81064 2.83023 2.85002 2.87024 2.89091 2.91199 2.93342 2.9551 2.97696 2.99886 3.02075 3.04257 3.06424 3.08564 3.10671 3.1274 3.14789 3.16874 3.19098 3.21246 3.23265 3.25143 3.26954 3.29184 3.30951 3.32126 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.59984 2.61236 2.63236 2.64918 2.66706 2.68639 2.70502 2.72379 2.74323 2.76341 2.78404 2.80444 2.82474 2.84518 2.86591 2.88699 2.9084 2.93011 2.95207 2.97419 2.99639 3.01863 3.04082 3.06291 3.08484 3.10656 3.12809 3.14953 3.17111 3.19299 3.21451 3.23533 3.25545 3.27528 3.29566 3.31454 3.3321 3.35241 3.36533 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.55255 2.56546 2.58641 2.60403 2.62259 2.64068 2.65911 2.67808 2.69714 2.71643 2.73616 2.75636 2.7769 2.79755 2.81831 2.83925 2.86045 2.88194 2.90373 2.9258 2.94809 2.97055 2.99313 3.01576 3.0384 3.06098 3.08347 3.10583 3.12807 3.15025 3.17242 3.19456 3.21646 3.23792 3.25894 3.27965 3.30018 3.32005 3.33938 3.35894 3.37735 3.39869 3.41211 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.50477 2.51764 2.53874 2.55658 2.57553 2.59395 2.6125 2.63104 2.64981 2.66889 2.68822 2.70784 2.72783 2.74819 2.76887 2.78978 2.81091 2.83228 2.85391 2.87583 2.89803 2.92049 2.94317 2.96604 2.98904 3.01213 3.03526 3.05837 3.08144 3.10444 3.12735 3.15019 3.17296 3.19562 3.21805 3.24017 3.26195 3.28341 3.30456 3.32529 3.34565 3.36581 3.38565 3.40578 3.42462 3.44638 3.45993 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.45787 2.47033 2.49099 2.50858 2.52741 2.54581 2.5644 2.58296 2.60161 2.62039 2.63939 2.65866 2.67823 2.69811 2.71834 2.73891 2.75982 2.78103 2.80251 2.82427 2.84633 2.86867 2.8913 2.91419 2.93732 2.96064 2.98412 3.00771 3.03137 3.05505 3.07873 3.10237 3.12595 3.14945 3.17285 3.19612 3.21918 3.24199 3.26449 3.28669 3.30857 3.3301 3.3513 3.37222 3.39288 3.41337 3.43345 3.45375 3.47258 3.49417 3.50746 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.41372 2.42506 2.44451 2.4613 2.47952 2.49748 2.51575 2.53406 2.55252 2.57109 2.58982 2.60874 2.62791 2.64737 2.66715 2.68726 2.70772 2.72855 2.74973 2.77124 2.79308 2.81523 2.8377 2.86048 2.88356 2.90692 2.93052 2.95435 2.97835 3.00248 3.02671 3.051 3.07531 3.09961 3.12386 3.14804 3.17213 3.19607 3.21982 3.24333 3.26657 3.28952 3.31216 3.33446 3.35645 3.37811 3.39948 3.42056 3.4413 3.46178 3.4817 3.50163 3.51984 3.54035 3.55254 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.38697 2.40145 2.41612 2.43301 2.45001 2.46755 2.48527 2.50324 2.5214 2.53975 2.55829 2.57706 2.59608 2.61538 2.635 2.65497 2.6753 2.696 2.71709 2.73855 2.76038 2.78258 2.80513 2.82803 2.85126 2.87482 2.89867 2.92279 2.94715 2.97171 2.99643 3.02127 3.0462 3.07117 3.09616 3.12111 3.146 3.1708 3.19546 3.21993 3.24419 3.26819 3.2919 3.3153 3.33838 3.36113 3.38353 3.4056 3.42731 3.44864 3.46958 3.49003 3.51001 3.52915 3.54781 3.56381 3.57895 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
