nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.28939 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.45975 -1.4484 -1.43271 -1.41494 -1.39593 -1.37608 -1.35558 -1.33455 -1.31305 -1.29105 -1.26994 -1.24854 -1.2271 -1.20583 -1.18493 -1.16474 -1.14574 -1.12897 -1.11694 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.56276 -1.55193 -1.53643 -1.51808 -1.49714 -1.4727 -1.45433 -1.43634 -1.41769 -1.39829 -1.37823 -1.3576 -1.3365 -1.31502 -1.2933 -1.2717 -1.25005 -1.22842 -1.20692 -1.18573 -1.16504 -1.14505 -1.12582 -1.10651 -1.08166 -1.05941 -1.03945 -1.02244 -1.01061 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.62468 -1.61361 -1.59688 -1.5752 -1.55818 -1.54083 -1.52216 -1.50209 -1.48102 -1.46137 -1.44214 -1.4227 -1.40281 -1.38242 -1.36157 -1.34031 -1.31871 -1.29688 -1.27498 -1.25302 -1.23106 -1.20919 -1.18752 -1.16614 -1.14509 -1.12425 -1.10306 -1.08049 -1.05861 -1.03801 -1.01883 -1.0004 -0.977923 -0.960002 -0.948056 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.6696 -1.65723 -1.63735 -1.62083 -1.60334 -1.58443 -1.56629 -1.54805 -1.52915 -1.50951 -1.48938 -1.46947 -1.44965 -1.42964 -1.40931 -1.38857 -1.36743 -1.34591 -1.32408 -1.30201 -1.27978 -1.25745 -1.23508 -1.21273 -1.19048 -1.16838 -1.14642 -1.12451 -1.10245 -1.08008 -1.05803 -1.03665 -1.016 -0.995678 -0.974864 -0.955591 -0.93772 -0.917279 -0.904197 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.71707 -1.70435 -1.68357 -1.66627 -1.64812 -1.63055 -1.61271 -1.59438 -1.576 -1.55741 -1.53838 -1.51887 -1.49899 -1.47897 -1.4588 -1.4384 -1.41767 -1.39658 -1.37511 -1.35329 -1.33115 -1.30874 -1.28613 -1.26337 -1.24052 -1.21763 -1.19476 -1.17193 -1.14916 -1.1264 -1.10362 -1.08081 -1.05823 -1.03605 -1.01433 -0.992935 -0.971761 -0.951294 -0.931434 -0.911457 -0.892714 -0.871207 -0.857597 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.76484 -1.75222 -1.73138 -1.71394 -1.69549 -1.67766 -1.6598 -1.64202 -1.62407 -1.60585 -1.5874 -1.56867 -1.54957 -1.53007 -1.51021 -1.49006 -1.46965 -1.44892 -1.42786 -1.40642 -1.3846 -1.36242 -1.33991 -1.31711 -1.29406 -1.27082 -1.24744 -1.22396 -1.20043 -1.17688 -1.15332 -1.12978 -1.10625 -1.08277 -1.05948 -1.03647 -1.0138 -0.991449 -0.969433 -0.947879 -0.926755 -0.905897 -0.885456 -0.864832 -0.845582 -0.823573 -0.809768 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.81151 -1.79935 -1.77905 -1.76196 -1.74372 -1.72603 -1.70824 -1.69057 -1.67287 -1.65512 -1.63719 -1.619 -1.60054 -1.58176 -1.56261 -1.54307 -1.52315 -1.50287 -1.48223 -1.46123 -1.43984 -1.41806 -1.39587 -1.37331 -1.35038 -1.32713 -1.3036 -1.27983 -1.25587 -1.23175 -1.20753 -1.18324 -1.15891 -1.13457 -1.11025 -1.086 -1.06189 -1.03801 -1.0144 -0.991091 -0.968111 -0.94551 -0.923286 -0.901398 -0.879855 -0.858567 -0.837772 -0.816886 -0.797554 -0.775611 -0.762013 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.85534 -1.8443 -1.82526 -1.80903 -1.79148 -1.77434 -1.75699 -1.73969 -1.72234 -1.70495 -1.68747 -1.66984 -1.652 -1.63388 -1.61545 -1.59666 -1.57748 -1.55788 -1.53787 -1.51744 -1.4966 -1.47533 -1.45363 -1.43149 -1.40893 -1.38595 -1.36257 -1.33883 -1.31477 -1.29042 -1.26584 -1.24105 -1.21611 -1.19106 -1.16593 -1.14076 -1.1156 -1.09049 -1.06551 -1.04071 -1.01614 -0.991847 -0.967863 -0.944222 -0.920941 -0.89802 -0.875466 -0.85328 -0.831517 -0.810127 -0.789397 -0.768784 -0.750009 -0.729102 -0.7166 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -1.88221 -1.86799 -1.85385 -1.83766 -1.82152 -1.80499 -1.78839 -1.77166 -1.75485 -1.73792 -1.72087 -1.70365 -1.68622 -1.66852 -1.6505 -1.63213 -1.61336 -1.59416 -1.57452 -1.55441 -1.53383 -1.51278 -1.49125 -1.46923 -1.44674 -1.42377 -1.40035 -1.37649 -1.35223 -1.32759 -1.30263 -1.27737 -1.25187 -1.22618 -1.20032 -1.17435 -1.14832 -1.12228 -1.09627 -1.07035 -1.04459 -1.01903 -0.99372 -0.968703 -0.944014 -0.91968 -0.895723 -0.872164 -0.849026 -0.826351 -0.804172 -0.782589 -0.761603 -0.741597 -0.722229 -0.705703 -0.690301 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
