1 -0.364858
2 -0.214113
3 -0.148696
4 -0.11417
5 -0.0930347
6 -0.0787511
7 -0.0684443
8 -0.0606609
9 -0.0545839
10 -0.0497166
11 -0.0457389
12 -0.0424349
13 -0.0396534
14 -0.0372855
15 -0.0352505
16 -0.0334877
17 -0.03195
18 -0.0306007
19 -0.0294109
20 -0.028357
21 -0.02742
22 -0.0265842
23 -0.0258368
24 -0.0251668
25 -0.0245651
26 -0.024024
27 -0.0235368
28 -0.0230978
29 -0.0227021
30 -0.0223455
31 -0.0220241
32 -0.0217348
33 -0.0214746
34 -0.021241
35 -0.0210318
36 -0.0208448
37 -0.0206785
38 -0.020531
39 -0.020401
40 -0.0202871
41 -0.0201883
42 -0.0201034
43 -0.0200315
44 -0.0199716
45 -0.0199231
46 -0.0198852
47 -0.0198574
48 -0.0198391
49 -0.01983
50 -0.01983
