nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.29521 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.2843 -4.29265 -4.29673 -4.29882 -4.29978 -4.3 -4.29968 -4.29893 -4.29782 -4.29635 -4.2955 -4.29446 -4.29343 -4.29257 -4.29207 -4.29221 -4.29346 -4.2968 -4.30468 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28568 -4.294 -4.29778 -4.29887 -4.29761 -4.29315 -4.29481 -4.29695 -4.29854 -4.29949 -4.2999 -4.29985 -4.29943 -4.29873 -4.29785 -4.29705 -4.29623 -4.29545 -4.2948 -4.29444 -4.29451 -4.29518 -4.29649 -4.29754 -4.29281 -4.29065 -4.29063 -4.29337 -4.30101 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28441 -4.29215 -4.29443 -4.29204 -4.29445 -4.29667 -4.29777 -4.29766 -4.29678 -4.29747 -4.29872 -4.29989 -4.30074 -4.30122 -4.30136 -4.30119 -4.30078 -4.3002 -4.29958 -4.29892 -4.29828 -4.29772 -4.29733 -4.29718 -4.29727 -4.29744 -4.29711 -4.29523 -4.29391 -4.2937 -4.29469 -4.29615 -4.29323 -4.2947 -4.30183 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28453 -4.29075 -4.28977 -4.29229 -4.29402 -4.29457 -4.29608 -4.29768 -4.29884 -4.29946 -4.2998 -4.30055 -4.30154 -4.30253 -4.30332 -4.30386 -4.30413 -4.30414 -4.30393 -4.30356 -4.30309 -4.30254 -4.30198 -4.30143 -4.30096 -4.30057 -4.30025 -4.29987 -4.29919 -4.29804 -4.29705 -4.29655 -4.29654 -4.29661 -4.29589 -4.29644 -4.29806 -4.29671 -4.30245 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28693 -4.29247 -4.29028 -4.29174 -4.29258 -4.29421 -4.2958 -4.29711 -4.29861 -4.30012 -4.30143 -4.30248 -4.30337 -4.30434 -4.30535 -4.30631 -4.30712 -4.30773 -4.30811 -4.30825 -4.3082 -4.30797 -4.3076 -4.30713 -4.3066 -4.30603 -4.30544 -4.30486 -4.30425 -4.30355 -4.30269 -4.30165 -4.30066 -4.29987 -4.29931 -4.29881 -4.29826 -4.2981 -4.29823 -4.29787 -4.29839 -4.29571 -4.30065 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28967 -4.29488 -4.29219 -4.29312 -4.29329 -4.29433 -4.29558 -4.29715 -4.29881 -4.30044 -4.3021 -4.30373 -4.30524 -4.3066 -4.30784 -4.30902 -4.31015 -4.31119 -4.31207 -4.31277 -4.31325 -4.31351 -4.31357 -4.31344 -4.31315 -4.31272 -4.31219 -4.31156 -4.31087 -4.31011 -4.30928 -4.30835 -4.3073 -4.30615 -4.30501 -4.30394 -4.30296 -4.30205 -4.30119 -4.30047 -4.29985 -4.29913 -4.29846 -4.2972 -4.29693 -4.29346 -4.29786 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.29155 -4.29672 -4.29406 -4.29485 -4.29477 -4.2955 -4.29639 -4.29768 -4.29922 -4.30096 -4.30281 -4.30469 -4.30657 -4.30841 -4.31015 -4.31178 -4.31329 -4.31469 -4.31599 -4.31715 -4.31815 -4.31895 -4.31953 -4.3199 -4.32005 -4.31999 -4.31975 -4.31934 -4.31879 -4.31809 -4.31729 -4.31637 -4.31534 -4.31419 -4.31294 -4.3116 -4.31022 -4.30885 -4.30751 -4.3062 -4.30493 -4.30372 -4.30253 -4.30132 -4.30007 -4.29867 -4.29736 -4.29552 -4.29482 -4.29105 -4.29524 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.29091 -4.29667 -4.29473 -4.29584 -4.29591 -4.29666 -4.29749 -4.29865 -4.30006 -4.30172 -4.30359 -4.30562 -4.30774 -4.30988 -4.31202 -4.31411 -4.31612 -4.31801 -4.31977 -4.3214 -4.32288 -4.3242 -4.32533 -4.32625 -4.32694 -4.3274 -4.32763 -4.32764 -4.32743 -4.32702 -4.32642 -4.32565 -4.32472 -4.32365 -4.32242 -4.32107 -4.31959 -4.31801 -4.31636 -4.31467 -4.31297 -4.31126 -4.30956 -4.30788 -4.3062 -4.30451 -4.30279 -4.30102 -4.29925 -4.29741 -4.29579 -4.29382 -4.29324 -4.29003 -4.29479 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.28985 -4.29226 -4.29493 -4.2958 -4.29698 -4.29806 -4.29935 -4.30082 -4.30252 -4.30441 -4.3065 -4.30876 -4.31112 -4.31356 -4.31601 -4.31845 -4.32083 -4.32311 -4.32527 -4.32729 -4.32916 -4.33085 -4.33234 -4.33362 -4.33467 -4.33548 -4.33604 -4.33634 -4.33639 -4.33619 -4.33577 -4.33512 -4.33426 -4.3332 -4.33196 -4.33055 -4.32897 -4.32724 -4.32539 -4.32345 -4.32143 -4.31935 -4.31725 -4.31512 -4.31298 -4.31083 -4.30866 -4.30649 -4.30431 -4.30216 -4.30004 -4.29805 -4.29618 -4.2948 -4.29355 -4.29463 -4.29624 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
