nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.79181 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.88213 -7.87936 -7.87557 -7.87136 -7.86691 -7.86233 -7.85765 -7.8529 -7.84808 -7.84322 -7.8383 -7.83334 -7.82834 -7.82331 -7.81823 -7.81312 -7.80797 -7.80278 -7.79755 -7.79223 -7.78715 -7.78201 -7.77682 -7.77161 -7.76638 -7.76115 -7.75591 -7.75068 -7.74546 -7.74026 -7.73509 -7.72996 -7.72488 -7.71989 -7.715 -7.71028 -7.70584 -7.70189 -7.69903 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.9273 -7.92456 -7.9208 -7.91656 -7.91203 -7.90728 -7.90232 -7.89711 -7.89155 -7.88533 -7.88077 -7.87642 -7.87199 -7.86746 -7.86284 -7.85813 -7.85337 -7.84854 -7.84367 -7.83875 -7.83379 -7.82879 -7.82375 -7.81868 -7.81356 -7.80842 -7.80324 -7.79803 -7.7928 -7.78763 -7.78245 -7.77725 -7.77203 -7.7668 -7.76156 -7.75632 -7.75108 -7.74585 -7.74064 -7.73545 -7.73031 -7.72521 -7.72018 -7.71524 -7.71042 -7.70575 -7.70121 -7.69659 -7.69052 -7.68487 -7.67944 -7.6742 -7.66913 -7.66429 -7.65976 -7.65577 -7.65291 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.95769 -7.95491 -7.95105 -7.94663 -7.94179 -7.93648 -7.93045 -7.92599 -7.92168 -7.91725 -7.91266 -7.9079 -7.90297 -7.89788 -7.89261 -7.88725 -7.88239 -7.87774 -7.87314 -7.86851 -7.86382 -7.85909 -7.8543 -7.84946 -7.84458 -7.83965 -7.83468 -7.82968 -7.82464 -7.81956 -7.81445 -7.8093 -7.80413 -7.79894 -7.79373 -7.78853 -7.78332 -7.7781 -7.77287 -7.76762 -7.76237 -7.75712 -7.75187 -7.74662 -7.74139 -7.73619 -7.73101 -7.72588 -7.72079 -7.71577 -7.71082 -7.70593 -7.70104 -7.69599 -7.69051 -7.68504 -7.67967 -7.67442 -7.66932 -7.66438 -7.65963 -7.65506 -7.65046 -7.6445 -7.63905 -7.63397 -7.6293 -7.62522 -7.62231 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.98345 -7.98063 -7.97667 -7.97206 -7.96688 -7.96088 -7.95641 -7.95203 -7.94746 -7.94265 -7.93761 -7.93243 -7.92769 -7.9231 -7.91852 -7.91385 -7.90909 -7.90421 -7.89922 -7.89415 -7.88909 -7.8842 -7.87944 -7.87472 -7.87001 -7.86527 -7.8605 -7.85569 -7.85083 -7.84593 -7.841 -7.83602 -7.83101 -7.82596 -7.82088 -7.81577 -7.81062 -7.80545 -7.80026 -7.79505 -7.78984 -7.78461 -7.77937 -7.77412 -7.76886 -7.76359 -7.75832 -7.75305 -7.74779 -7.74253 -7.73729 -7.73208 -7.7269 -7.72175 -7.71664 -7.71156 -7.7065 -7.70142 -7.69624 -7.69089 -7.68552 -7.68018 -7.67491 -7.66975 -7.66468 -7.65972 -7.6548 -7.64978 -7.64438 -7.63908 -7.63397 -7.6291 -7.62446 -7.61982 -7.61386 -7.60851 -7.60366 -7.59947 -7.5965 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.00906 -8.0063 -8.00241 -7.99786 -7.9927 -7.98669 -7.98218 -7.97773 -7.97305 -7.9681 -7.96296 -7.95821 -7.95359 -7.94893 -7.94416 -7.93929 -7.93439 -7.92962 -7.92494 -7.92027 -7.91556 -7.91079 -7.90595 -7.90105 -7.8961 -7.89116 -7.88629 -7.88149 -7.87671 -7.87195 -7.86717 -7.86236 -7.85752 -7.85265 -7.84773 -7.84279 -7.8378 -7.83278 -7.82773 -7.82264 -7.81752 -7.81237 -7.8072 -7.802 -7.79679 -7.79156 -7.78632 -7.78106 -7.77579 -7.77051 -7.76523 -7.75993 -7.75464 -7.74934 -7.74406 -7.73878 -7.73353 -7.72829 -7.72307 -7.71788 -7.7127 -7.70752 -7.70231 -7.69705 -7.69172 -7.68636 -7.68101 -7.67571 -7.67047 -7.66529 -7.66016 -7.65505 -7.64987 -7.64459 -7.63932 -7.63415 -7.62909 -7.62411 -7.61905 -7.61366 -7.60841 -7.60341 -7.59867 -7.59395 -7.5879 -7.58251 -7.57765 -7.57347 -7.57053 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.02975 -8.02692 -8.02288 -8.01803 -8.01224 -8.00785 -8.00348 -7.99887 -7.99395 -7.98882 -7.98407 -7.97942 -7.97471 -7.9699 -7.96504 -7.96029 -7.95561 -7.95092 -7.94618 -7.9414 -7.93662 -7.93187 -7.92716 -7.92246 -7.91774 -7.91298 -7.90817 -7.90332 -7.89845 -7.89357 -7.88872 -7.8839 -7.8791 -7.8743 -7.86949 -7.86466 -7.8598 -7.8549 -7.84998 -7.84502 -7.84002 -7.83499 -7.82993 -7.82484 -7.81971 -7.81456 -7.80938 -7.80417 -7.79895 -7.7937 -7.78844 -7.78317 -7.77788 -7.77258 -7.76726 -7.76195 -7.75662 -7.7513 -7.74598 -7.74066 -7.73535 -7.73006 -7.72478 -7.7195 -7.71423 -7.70896 -7.70366 -7.69833 -7.69297 -7.68759 -7.68221 -7.67686 -7.67155 -7.66626 -7.66101 -7.65576 -7.65048 -7.64517 -7.63987 -7.63462 -7.62942 -7.62424 -7.61902 -7.61372 -7.60847 -7.60331 -7.59825 -7.59311 -7.58766 -7.58238 -7.57737 -7.57265 -7.568 -7.56213 -7.55703 -7.55272 -7.5497 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.05051 -8.0477 -8.04368 -8.03882 -8.03299 -8.02855 -8.0241 -8.01937 -8.01441 -8.00977 -8.00522 -8.00058 -7.99582 -7.99099 -7.98626 -7.98158 -7.97689 -7.97216 -7.96742 -7.96271 -7.95803 -7.95335 -7.94865 -7.94393 -7.9392 -7.93449 -7.92979 -7.92508 -7.92036 -7.91561 -7.91083 -7.90602 -7.90119 -7.89636 -7.89153 -7.88671 -7.88189 -7.87707 -7.87224 -7.86739 -7.86251 -7.8576 -7.85266 -7.84769 -7.84268 -7.83764 -7.83257 -7.82747 -7.82233 -7.81717 -7.81198 -7.80676 -7.80152 -7.79626 -7.79098 -7.78569 -7.78038 -7.77505 -7.76971 -7.76437 -7.75901 -7.75365 -7.74829 -7.74293 -7.73758 -7.73222 -7.72687 -7.72153 -7.71618 -7.71082 -7.70545 -7.70006 -7.69464 -7.68922 -7.68379 -7.67838 -7.67299 -7.66761 -7.66225 -7.65689 -7.65153 -7.64615 -7.64079 -7.63544 -7.63012 -7.62481 -7.61948 -7.61414 -7.60882 -7.60354 -7.59829 -7.59301 -7.58766 -7.58237 -7.57721 -7.57217 -7.5671 -7.56176 -7.55665 -7.55183 -7.5471 -7.54115 -7.536 -7.53166 -7.52864 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.07084 -8.06814 -8.06422 -8.05947 -8.05372 -8.04933 -8.04492 -8.04021 -8.03524 -8.03059 -8.02601 -8.02136 -8.01665 -8.01203 -8.00744 -8.00283 -7.99816 -7.99347 -7.98881 -7.98416 -7.97951 -7.97484 -7.97017 -7.96551 -7.96086 -7.95621 -7.95155 -7.94687 -7.94219 -7.9375 -7.93282 -7.92812 -7.92341 -7.91868 -7.91393 -7.90915 -7.90435 -7.89954 -7.89473 -7.88991 -7.88509 -7.88026 -7.87541 -7.87054 -7.86565 -7.86073 -7.85578 -7.85079 -7.84578 -7.84073 -7.83564 -7.83053 -7.82538 -7.82021 -7.815 -7.80978 -7.80452 -7.79924 -7.79395 -7.78863 -7.78329 -7.77794 -7.77258 -7.7672 -7.76181 -7.75641 -7.75101 -7.7456 -7.7402 -7.73479 -7.72937 -7.72396 -7.71854 -7.71311 -7.70766 -7.7022 -7.69673 -7.69125 -7.68576 -7.68028 -7.67481 -7.66935 -7.66389 -7.65844 -7.65299 -7.64753 -7.64208 -7.63664 -7.63121 -7.62579 -7.62037 -7.61495 -7.60954 -7.60414 -7.59877 -7.59338 -7.58799 -7.58264 -7.57735 -7.57211 -7.56687 -7.56158 -7.55637 -7.55126 -7.54613 -7.54074 -7.53559 -7.53076 -7.52604 -7.52012 -7.51504 -7.5108 -7.50787 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.08645 -8.0836 -8.07937 -8.07396 -8.06975 -8.06547 -8.06086 -8.05598 -8.0514 -8.04687 -8.04226 -8.03757 -8.03296 -8.02839 -8.02381 -8.01922 -8.01465 -8.01009 -8.00553 -8.00094 -7.99634 -7.99174 -7.98714 -7.98254 -7.97793 -7.97332 -7.96871 -7.9641 -7.95948 -7.95485 -7.95022 -7.94557 -7.94092 -7.93626 -7.93158 -7.92689 -7.92218 -7.91745 -7.91269 -7.90792 -7.90314 -7.89834 -7.89353 -7.8887 -7.88387 -7.87901 -7.87413 -7.86923 -7.86429 -7.85933 -7.85433 -7.8493 -7.84424 -7.83915 -7.83402 -7.82887 -7.82368 -7.81846 -7.81322 -7.80794 -7.80265 -7.79733 -7.79199 -7.78663 -7.78125 -7.77585 -7.77044 -7.76501 -7.75958 -7.75413 -7.74868 -7.74322 -7.73775 -7.73228 -7.7268 -7.72131 -7.71581 -7.7103 -7.70477 -7.69923 -7.69368 -7.68813 -7.68258 -7.67703 -7.67148 -7.66594 -7.6604 -7.65485 -7.64931 -7.64377 -7.63824 -7.63271 -7.62718 -7.62166 -7.61615 -7.61064 -7.60514 -7.59965 -7.59417 -7.5887 -7.58325 -7.57784 -7.57246 -7.56709 -7.56173 -7.5564 -7.55112 -7.54583 -7.5405 -7.53527 -7.53015 -7.52504 -7.51969 -7.51461 -7.50989 -7.50535 -7.49981 -7.49534 -7.49231 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
