nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.09558 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.08471 -4.09305 -4.09711 -4.09918 -4.10012 -4.10032 -4.09998 -4.09923 -4.09812 -4.09667 -4.0958 -4.09476 -4.09373 -4.09289 -4.0924 -4.09256 -4.09383 -4.09719 -4.10508 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.08614 -4.09445 -4.0982 -4.09927 -4.09798 -4.09351 -4.09515 -4.09727 -4.09884 -4.09977 -4.10016 -4.1001 -4.09967 -4.09896 -4.09808 -4.09728 -4.09646 -4.09569 -4.09506 -4.09471 -4.0948 -4.0955 -4.09683 -4.0979 -4.09317 -4.09103 -4.09105 -4.09382 -4.10147 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.08489 -4.09261 -4.09487 -4.09247 -4.09485 -4.09704 -4.0981 -4.09797 -4.09706 -4.09772 -4.09894 -4.10008 -4.1009 -4.10136 -4.10148 -4.1013 -4.10088 -4.1003 -4.09968 -4.09903 -4.0984 -4.09786 -4.09749 -4.09736 -4.09748 -4.09769 -4.09738 -4.09553 -4.09424 -4.09406 -4.09509 -4.09657 -4.09367 -4.09515 -4.10231 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.08499 -4.0912 -4.09021 -4.0927 -4.0944 -4.09492 -4.09639 -4.09795 -4.09906 -4.09963 -4.09993 -4.10064 -4.1016 -4.10255 -4.10331 -4.10382 -4.10407 -4.10406 -4.10385 -4.10347 -4.103 -4.10246 -4.10191 -4.10139 -4.10094 -4.10059 -4.1003 -4.09996 -4.09932 -4.09821 -4.09726 -4.0968 -4.09684 -4.09695 -4.09626 -4.09684 -4.09849 -4.09715 -4.10291 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.08738 -4.0929 -4.09069 -4.09213 -4.09294 -4.09452 -4.09606 -4.09733 -4.09877 -4.10022 -4.10147 -4.10246 -4.10331 -4.10422 -4.10518 -4.1061 -4.10688 -4.10745 -4.1078 -4.10793 -4.10786 -4.10763 -4.10726 -4.10681 -4.10629 -4.10574 -4.10519 -4.10465 -4.10408 -4.10343 -4.10261 -4.10163 -4.10069 -4.09997 -4.09946 -4.09902 -4.09852 -4.09841 -4.09858 -4.09825 -4.0988 -4.09614 -4.10109 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.09012 -4.09531 -4.0926 -4.09349 -4.09362 -4.09462 -4.09581 -4.09732 -4.09891 -4.10047 -4.10206 -4.10361 -4.10505 -4.10634 -4.10751 -4.10864 -4.10971 -4.11069 -4.11153 -4.11219 -4.11264 -4.11288 -4.11292 -4.11279 -4.1125 -4.11209 -4.11157 -4.11098 -4.11032 -4.10961 -4.10883 -4.10796 -4.10697 -4.10589 -4.10481 -4.10382 -4.10292 -4.10208 -4.10128 -4.10064 -4.10008 -4.09941 -4.09879 -4.09757 -4.09734 -4.09389 -4.09831 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.09202 -4.09716 -4.09447 -4.09522 -4.09509 -4.09576 -4.0966 -4.09781 -4.09927 -4.10093 -4.10269 -4.10448 -4.10627 -4.10802 -4.10968 -4.11122 -4.11265 -4.11398 -4.11521 -4.11631 -4.11725 -4.118 -4.11855 -4.11889 -4.11903 -4.11897 -4.11873 -4.11834 -4.1178 -4.11715 -4.11638 -4.11552 -4.11455 -4.11347 -4.1123 -4.11104 -4.10974 -4.10846 -4.10721 -4.10599 -4.10481 -4.10368 -4.10258 -4.10145 -4.10027 -4.09894 -4.09768 -4.09589 -4.09523 -4.09149 -4.09571 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.09141 -4.09714 -4.09516 -4.09623 -4.09625 -4.09693 -4.09768 -4.09877 -4.10008 -4.10165 -4.10342 -4.10534 -4.10735 -4.10939 -4.11142 -4.1134 -4.1153 -4.11709 -4.11876 -4.1203 -4.1217 -4.12295 -4.12402 -4.12488 -4.12553 -4.12597 -4.12618 -4.12617 -4.12597 -4.12558 -4.12501 -4.12428 -4.1234 -4.12239 -4.12124 -4.11996 -4.11857 -4.11709 -4.11554 -4.11395 -4.11236 -4.11076 -4.10917 -4.1076 -4.10603 -4.10443 -4.10281 -4.10113 -4.09944 -4.09768 -4.09612 -4.09421 -4.09367 -4.09049 -4.09528 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -4.09034 -4.09272 -4.09535 -4.09616 -4.09728 -4.09827 -4.09948 -4.10084 -4.10243 -4.10421 -4.10618 -4.1083 -4.11054 -4.11285 -4.11517 -4.11748 -4.11973 -4.12189 -4.12394 -4.12585 -4.12761 -4.12921 -4.13062 -4.13183 -4.13282 -4.13358 -4.1341 -4.13438 -4.13442 -4.13423 -4.13383 -4.13321 -4.1324 -4.13141 -4.13024 -4.1289 -4.12742 -4.12579 -4.12406 -4.12222 -4.12033 -4.11838 -4.1164 -4.1144 -4.11239 -4.11037 -4.10834 -4.10629 -4.10423 -4.10218 -4.10016 -4.09826 -4.09647 -4.09516 -4.09397 -4.09509 -4.09673 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
