4 -2.6656
5 -2.64845
6 -2.62106
7 -2.5881
8 -2.55228
9 -2.51513
10 -2.47756
11 -2.44013
12 -2.40318
13 -2.36692
14 -2.33151
15 -2.29704
16 -2.26356
17 -2.23112
18 -2.19974
19 -2.16944
20 -2.14021
21 -2.11206
22 -2.08499
23 -2.05899
24 -2.03406
25 -2.0102
26 -1.98738
27 -1.9656
28 -1.94486
29 -1.92515
30 -1.90645
31 -1.88875
32 -1.87206
33 -1.85635
34 -1.84163
35 -1.82787
36 -1.81508
37 -1.80324
38 -1.79234
39 -1.78238
40 -1.77335
41 -1.76524
42 -1.75804
43 -1.75175
44 -1.74635
45 -1.74184
46 -1.7382
47 -1.73543
48 -1.73348
49 -1.73224
50 -1.73127
