2 -16.1881
3 -15.9851
4 -15.7883
5 -15.6025
6 -15.4272
7 -15.2613
8 -15.1033
9 -14.9525
10 -14.8078
11 -14.6688
12 -14.5348
13 -14.4055
14 -14.2806
15 -14.1598
16 -14.0429
17 -13.9297
18 -13.8201
19 -13.7139
20 -13.6112
21 -13.5119
22 -13.4158
23 -13.3231
24 -13.2335
25 -13.1473
26 -13.0643
27 -12.9845
28 -12.9081
29 -12.8349
30 -12.765
31 -12.6985
32 -12.6354
33 -12.5756
34 -12.5193
35 -12.4664
36 -12.4169
37 -12.371
38 -12.3285
39 -12.2896
40 -12.2542
41 -12.2223
42 -12.194
43 -12.1692
44 -12.1479
45 -12.1301
46 -12.1157
47 -12.1048
48 -12.0972
49 -12.0925
50 -12.0891
