nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51898 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.50822 -3.51653 -3.52054 -3.52255 -3.52343 -3.52358 -3.5232 -3.52242 -3.52132 -3.51991 -3.51899 -3.51794 -3.51694 -3.51613 -3.51569 -3.5159 -3.51723 -3.52064 -3.52857 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.50982 -3.51807 -3.52175 -3.52275 -3.5214 -3.5169 -3.51849 -3.52055 -3.52205 -3.52292 -3.52325 -3.52314 -3.52268 -3.52196 -3.52108 -3.52027 -3.51946 -3.51871 -3.51812 -3.51783 -3.51798 -3.51875 -3.52015 -3.52126 -3.51656 -3.51448 -3.51458 -3.51742 -3.52512 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.50859 -3.51627 -3.51847 -3.51604 -3.51834 -3.52044 -3.52141 -3.52118 -3.52019 -3.52077 -3.5219 -3.52296 -3.52371 -3.52411 -3.52417 -3.52395 -3.52351 -3.52293 -3.5223 -3.52167 -3.52107 -3.52058 -3.52028 -3.52022 -3.52042 -3.52071 -3.52049 -3.51871 -3.51752 -3.51743 -3.51855 -3.52011 -3.51725 -3.51879 -3.52599 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.50864 -3.51482 -3.51379 -3.51622 -3.51783 -3.51825 -3.5196 -3.52104 -3.52202 -3.52247 -3.52266 -3.52325 -3.5241 -3.52494 -3.52562 -3.52605 -3.52623 -3.52618 -3.52593 -3.52555 -3.52508 -3.52457 -3.52406 -3.5236 -3.52322 -3.52296 -3.52277 -3.52254 -3.52201 -3.52102 -3.5202 -3.51987 -3.52003 -3.52025 -3.51967 -3.52034 -3.52206 -3.52075 -3.52655 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51099 -3.51647 -3.51422 -3.51558 -3.51629 -3.51776 -3.51916 -3.52027 -3.52156 -3.52285 -3.52394 -3.52476 -3.52546 -3.52622 -3.52705 -3.52784 -3.52851 -3.52898 -3.52926 -3.52934 -3.52923 -3.52898 -3.52863 -3.5282 -3.52773 -3.52726 -3.5268 -3.52636 -3.52592 -3.5254 -3.52473 -3.5239 -3.52313 -3.52257 -3.52223 -3.52195 -3.52159 -3.52163 -3.52192 -3.52169 -3.52232 -3.51969 -3.52469 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51374 -3.51886 -3.5161 -3.51689 -3.51691 -3.51776 -3.51879 -3.52012 -3.52153 -3.52289 -3.52427 -3.52562 -3.52685 -3.52794 -3.52892 -3.52986 -3.53077 -3.53161 -3.53231 -3.53286 -3.53322 -3.53339 -3.5334 -3.53325 -3.53297 -3.53259 -3.53214 -3.53163 -3.53108 -3.5305 -3.52987 -3.52916 -3.52835 -3.52746 -3.52659 -3.5258 -3.52511 -3.52448 -3.52388 -3.52343 -3.52305 -3.52255 -3.52206 -3.52096 -3.52082 -3.51743 -3.52191 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51568 -3.52076 -3.51798 -3.51862 -3.51835 -3.51886 -3.5195 -3.52051 -3.52175 -3.52317 -3.52469 -3.52622 -3.52775 -3.52924 -3.53065 -3.53195 -3.53315 -3.53427 -3.5353 -3.53622 -3.537 -3.53763 -3.53807 -3.53834 -3.53842 -3.53835 -3.53812 -3.53777 -3.53731 -3.53676 -3.53612 -3.53541 -3.53461 -3.53374 -3.53277 -3.53174 -3.53069 -3.52966 -3.52867 -3.52771 -3.52678 -3.52591 -3.52505 -3.52414 -3.52317 -3.52202 -3.52092 -3.51928 -3.51874 -3.51508 -3.51936 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51515 -3.52081 -3.51874 -3.51968 -3.51954 -3.52003 -3.52057 -3.52142 -3.52248 -3.52377 -3.52525 -3.52686 -3.52856 -3.53029 -3.532 -3.53368 -3.53528 -3.53678 -3.53818 -3.53947 -3.54064 -3.54168 -3.54257 -3.54328 -3.54381 -3.54416 -3.54431 -3.54429 -3.5441 -3.54376 -3.54328 -3.54267 -3.54194 -3.5411 -3.54016 -3.53911 -3.53797 -3.53676 -3.5355 -3.53421 -3.53293 -3.53165 -3.53037 -3.52911 -3.52784 -3.52654 -3.52519 -3.52377 -3.52232 -3.52077 -3.5194 -3.51764 -3.51724 -3.51415 -3.51901 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -3.51405 -3.51638 -3.51888 -3.51953 -3.52044 -3.52121 -3.52215 -3.52323 -3.5245 -3.52595 -3.52757 -3.52933 -3.5312 -3.53313 -3.53508 -3.53702 -3.5389 -3.54071 -3.54242 -3.54402 -3.54549 -3.54681 -3.54799 -3.54899 -3.54981 -3.55043 -3.55085 -3.55107 -3.55109 -3.55092 -3.55057 -3.55006 -3.54938 -3.54855 -3.54759 -3.54649 -3.54527 -3.54394 -3.54252 -3.54103 -3.53948 -3.5379 -3.5363 -3.53468 -3.53304 -3.53139 -3.52972 -3.52801 -3.52628 -3.52455 -3.52282 -3.52119 -3.51963 -3.51852 -3.51749 -3.51873 -3.52043 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
